,Condition,Capacity,Capital,Character,Collateral,loan_status,profit_or_loss,addr_state,home_ownership
4411,-0.7096464474414297,-0.6220191619292859,-0.962709815278882,0.11694835954706365,0.332,1,230.27000000000044,Midwest,RENT
4412,-1.075440996387597,-0.47282443673508956,-0.49004472371093677,0.2720002748442025,-0.1624,1,31.330000000001746,West,MORTGAGE
4413,-0.22284390521203268,-0.4532319382708058,-0.5809274931465152,0.027850820441415174,0.2324,1,-3910.9,West,RENT
4414,-0.1301633486392399,-0.1635645280604699,-0.4439774897120654,0.015003955929980672,-0.262,1,-2858.8,South,MORTGAGE
4415,-0.25220683175399905,-0.4280058552771517,-0.34744731944901946,-0.04689873642835907,0.166,1,-3825.9,South,RENT
4416,-0.37310695165080976,-0.3876047540851413,-0.4982800326211221,0.04066624205205156,-0.2288,1,-5840.32,South,MORTGAGE
4417,-0.6538148687526002,-0.2693922325959282,-0.4772143150142252,-0.09526905776734772,0.07,1,-9685.1,South,MORTGAGE
4418,-0.6598609835510236,-0.2916057179272073,-0.3903665392989409,-0.05464463648388329,0.09960000000000001,1,-10011.8,West,RENT
4419,-1.4014378911444145,-0.35031382044111986,-0.2886197435658931,0.14164769303033195,0.07,1,-18614.45,Midwest,MORTGAGE
4420,-1.01848699151092,-0.25522714660354545,-0.34125885861687855,0.04041564755388043,-0.029600000000000015,1,-19383.81,South,MORTGAGE
4421,-0.213017784979345,-0.4646923617508844,-0.8240332398356067,0.08737914366922234,0.1328,1,481.3699999999999,South,RENT
4422,-0.576102099667865,-0.5069009953642439,-0.8332895237354596,-0.035864723666389584,0.7538,1,-8392.92,Northeast,OWN
4423,-0.7714909101108539,-0.3638660802706244,-0.37096889794345034,0.05784219767250854,0.332,1,-15698.0,Northeast,RENT
4424,-0.8925959636291247,-0.33797624358044365,-0.38288696874826705,-0.14622537306881428,-0.1956,1,-13256.0,,MORTGAGE
4425,-0.4224081742217234,-0.08157112758549537,-0.1709408597962735,-0.12092619375911545,0.09960000000000001,1,-6828.200000000001,Northeast,RENT
4426,-0.5716882001193817,-0.44523244642306326,-0.2301951941378075,0.06156953671453272,0.1328,1,-7422.9800000000005,,RENT
4427,-0.608124990300654,-0.33145556042959934,-0.49957808978234264,-0.05435604455874094,0.332,1,-9936.4,West,RENT
4428,-0.5155401436530321,-0.5903779170152359,-0.8564612329147419,-0.0226953715059747,0.07,1,-7895.0199999999995,Midwest,MORTGAGE
4429,-1.3751586469141497,-0.1112157517569313,-0.16121609697027267,0.12173606951069461,0.07,1,-20158.62,South,MORTGAGE
4430,-0.42949684469210825,-0.38327045438455676,-0.4714407728949382,0.0197223396008864,0.0332,1,948.2800000000007,South,RENT
4431,-0.44558195618924,-0.17966339816410654,-0.23423432527033394,-0.0807833783391915,0.07,1,-7038.87,Midwest,MORTGAGE
4432,-0.34585092117711197,-0.37361758271568346,-0.44003603184581497,-0.0819990443394333,0.0368,1,-5196.5599999999995,West,MORTGAGE
4433,-0.6803506530926022,-0.3947579039353084,-0.33874967296081787,-0.007023164561331015,0.0332,1,-8902.18,Northeast,RENT
4434,-1.5262942797543233,-0.5702415056933519,-0.5607495798210963,0.04505746868448357,0.07,1,-25020.059999999998,Northeast,MORTGAGE
4435,-0.5727944160554318,-0.6871284812180853,-0.7759786129264473,-0.0981725772294314,0.0368,1,-7857.1900000000005,South,MORTGAGE
4436,-0.2657203790743363,-0.3455473459854239,-0.41022241984047714,-0.11178549419937223,0.1328,1,356.8699999999999,South,RENT
4437,-1.0014706469410666,-0.5499315259978617,-0.5387548145788811,-0.1446283799285652,0.6542,1,-17374.64,South,OWN
4438,-0.4578868337434915,-0.21778574874739506,-0.724400826258568,0.04901853363603905,0.07,1,-8349.05,South,MORTGAGE
4439,-0.8780701335851867,-0.5288128334099873,-0.44846684426427286,0.2702885964503424,0.07,1,977.2599999999984,Northeast,MORTGAGE
4440,-0.2937484022721826,-0.6695647756220953,-0.6584878133941068,-0.1289036100689324,0.455,1,-4066.81,South,OWN
4441,-0.42629876482861595,-0.35692633208009733,-0.5732903527336979,-0.09253695097443398,0.166,1,-6625.3,Northeast,RENT
4442,-0.40085168723868725,-0.5161633413339902,-0.7714210633192448,0.04401003191623674,0.166,1,-6318.6,South,RENT
4443,-0.48783681934738565,-0.5256709709321923,-0.7637616718148799,0.0510548680519511,0.003599999999999992,1,-7273.8,South,MORTGAGE
